en_key,lang_key,ref,type,co2,classification,attribute,variety
mushroom,Champignon,Champignon,vegan,2.55,conventional,canned,canned
corn,Mais,Mais,vegan,1.2,conventional,canned,canned
tomato,Tomate,Tomate,vegan,1.87,conventional,canned,canned
beans,Bohnen,Bohnen,vegan,1.21,conventional,canned,canned
peas,Erbsen,Erbsen,vegan,1.24,conventional,canned,canned
chickpea,Kichererbse,Kichererbse,vegan,1.25,conventional,canned,canned
lentil,Linsen,Linsen,vegan,1.46,conventional,canned,canned
pineapple,Ananas,Ananas,vegan,1.71,conventional,canned,canned
apricot,Aprikose,Aprikose,vegan,1.7,conventional,canned,canned
peach,Pfirsich,Pfirsich,vegan,1.52,conventional,canned,canned
basil,Basilikum,Basilikum,vegan,3.124,conventional,dried,dried
rosemary,Rosmarin,Rosmarin,vegan,0.532,conventional,dried,dried
thyme,Thymian,Thymian,vegan,2.812,conventional,dried,dried
date,Dattel,Dattel,vegan,4.22,organic,dried,dried
tea,Tee,Tee,vegan,5.06,conventional,dried,dried
oregano,Oregano,Oregano,vegan,2.362,conventional,dried,dried
lentils,Linsen,Linsen,vegan,0.61,conventional,dried,dried
date,Dattel,Dattel,vegan,3.01,conventional,dried,dried
spice,Gewürz,Gewürz,vegan,0.652,conventional,fresh,fresh
basil,Basilikum,Basilikum,vegan,0.272,conventional,fresh,fresh
oregano,Oregano,Oregano,vegan,0.572,conventional,fresh,fresh
beetroot,rote Beete,rote Beete,vegan,0.32,conventional,fresh,fresh
date,Dattel,Dattel,vegan,3.56,organic,fresh,fresh
crab,Krabbe,Krabbe,meat,12.59,conventional,frozen,frozen
crayfish,Flusskrebse,Flusskrebse,meat,12.59,conventional,frozen,frozen
langostino,Langostino,Langostino,meat,12.59,conventional,frozen,frozen
prawns,Crevetten,Crevetten,meat,12.59,conventional,frozen,frozen
scampi,Kaisergranat,Kaisergranat,meat,12.59,conventional,frozen,frozen
shrimp,Garnele,Garnele,meat,12.59,conventional,frozen,frozen
brussel sprouts,Rosenkohl,Rosenkohl,vegan,0.59,conventional,frozen,frozen
strawberry,Erdbeere,Erdbeere,vegan,0.71,conventional,frozen,frozen
blueberry,Heidelbeere,Heidelbeere,vegan,0.64,conventional,frozen,frozen
raspberry,Himbeere,Himbeere,vegan,0.66,conventional,frozen,frozen
french fries,Pommes,Pommes,vegan,0.7,conventional,frozen,frozen
beetroot,rote Beete,rote Beete,vegan,1.36,conventional,glass,glass
red cabbage,Rotkohl,Rotkohl,vegan,0.96,conventional,glass,glass
kale,Grünkohl,Grünkohl,vegan,0.8,conventional,glass,glass
black eyed beans,Schwarzaugenbohnen,Schwarzaugenbohnen,vegan,0.403,conventional,fresh,
plum,Pflaume,Pflaume,vegan,0.22,conventional,fresh,
burger bun,Burgerbrötchen,Burgerbrötchen,vegetarian,0.61,conventional,fresh,
anise,Anis,Anis,vegan,4.526,conventional,fresh,
baking powder,Backpulver,Backpulver,vegan,1.504,conventional,fresh,
baking soda,Natron,Natron,vegan,1.249,conventional,fresh,
lemon balm,Zitronenmelisse,Zitronenmelisse,vegan,0.602,conventional,fresh,
balsamic vinegar,Balsamico,Balsamico,vegan,1.474,conventional,fresh,
barbecue sauce,Barbecue Sauce,Barbecue Sauce,meat,0.983,conventional,fresh,
bay leaf,Lorbeerblatt,Lorbeerblatt,vegan,0.602,conventional,fresh,
cardamom,Kardamom,Kardamom,vegan,0.652,conventional,fresh,
chervil,Kerbel,Kerbel,vegan,0.356,conventional,fresh,
chia seeds,Chiasamen,Chiasamen,vegan,0.92,conventional,fresh,
chili,Chilli,Chilli,vegan,0.681,conventional,fresh,
cinnamon,Zimt,Zimt,vegan,0.643,conventional,fresh,
clove,Nelke,Nelke,vegan,0.492,conventional,fresh,
cilantro,Koriander,Koriander,vegan,0.656,conventional,fresh,
cumin,Kreuzkümmel,Kreuzkümmel,vegan,0.652,conventional,fresh,
turmeric,Kurkuma,Kurkuma,vegan,0.652,conventional,fresh,
curry,Curry,Curry,vegan,0.652,conventional,fresh,
dill,Dill,Dill,vegan,0.682,conventional,fresh,
fish sauce,Fischsauce,Fischsauce,meat,2.388,conventional,fresh,
gelatin,Gelatine,Gelatine,vegetarian,0.652,conventional,fresh,
ginger,Ingwer,Ingwer,vegan,1.226,conventional,fresh,
herbs,Kräuter,Kräuter,vegan,0.652,conventional,fresh,
ketchup,Ketchup,Ketchup,vegan,1.352,conventional,fresh,
lemon grass,Zitronengras,Zitronengras,vegan,4.562,conventional,fresh,
macadamia,Macadamia,Macadamia,vegan,2.678,conventional,fresh,
marjoram,Majoran,Majoran,vegan,0.602,conventional,fresh,
mayonnaise,Mayonnaise,Mayonnaise,vegetarian,1.914,conventional,fresh,
caraway,Kümmel,Kümmel,vegan,0.642,conventional,fresh,
mustard,Senf,Senf,vegan,1.108,conventional,fresh,
mustard seeds,Senfsamen,Senfsamen,vegan,4.784,conventional,fresh,
mustard leaves,brauner Senf,brauner Senf,vegan,4.784,conventional,fresh,
nutmeg,Muskatnuss,Muskatnuss,vegan,0.367,conventional,fresh,
sesame oil,Sesamöl,Sesamöl,vegan,3.019,conventional,fresh,
onion powder,Zwiebelpulver,Zwiebelpulver,vegan,4.072,conventional,fresh,
paprika,Paprika,Paprika,vegan,4.274,conventional,fresh,
parsley,Petersilie,Petersilie,vegan,0.682,conventional,fresh,
pecan,Pecannuss,Pecannuss,vegan,2.678,conventional,fresh,
pepper,Pfeffer,Pfeffer,vegan,5.314,conventional,fresh,
pine nut,Pinienkerne,Pinienkerne,vegan,2.518,conventional,fresh,
poppy seed,Mohn,Mohn,vegan,0.92,conventional,fresh,
saffron,Safran,Safran,vegan,0.692,conventional,fresh,
sage,Salbei,Salbei,vegan,0.682,conventional,fresh,
salt,Salz,Salz,vegan,0.584,conventional,fresh,
sea salt,Meersalz,Meersalz,vegan,0.384,conventional,fresh,
sesame,Sesam,Sesam,vegan,2.612,conventional,fresh,
soy sauce,Sojasauce,Sojasauce,vegan,1.344,conventional,fresh,
agave syrup,Agavensirup,Agavensirup,vegan,0.969,conventional,fresh,
tabasco sauce,Tabascosauce,Tabascosauce,vegan,4.274,conventional,fresh,
tarragon,Estragon,Estragon,vegan,0.602,conventional,fresh,
tomatoes paste,Tomatenmark,Tomatenmark,vegan,1.732,conventional,fresh,
vanilin,Vanilinzucker,Vanilinzucker,vegan,2.267,conventional,fresh,
vanilla extract,Vanilleextrakt,Vanilleextrakt,vegan,13.827,conventional,fresh,
apple vinegar,Apfelessig,Apfelessig,vegan,3.284,conventional,fresh,
red wine vinegar,Rotweinessig,Rotweinessig,vegetarian,1.474,conventional,fresh,
white wine vinegar,Weissweinessig,Weissweinessig,vegetarian,1.474,conventional,fresh,
vinegar,Essig,Essig,vegetarian,1.5,conventional,fresh,
wasabi,Wasabipaste,Wasabipaste,vegan,0.835,conventional,fresh,
yeast extract,Hefeexktrakt,Hefeexktrakt,vegan,2.194,conventional,fresh,
yeast,Hefe,Hefe,vegan,0.754,conventional,fresh,
beer,Bier,Bier,vegan,0.77,conventional,fresh,
brandy,Brandy,Brandy,vegan,2.07,conventional,fresh,
whiskey,Whisky,Whisky,vegan,2.07,conventional,fresh,
rum,Rum,Rum,vegan,2.07,conventional,fresh,
cognac,Cognac,Cognac,vegan,2.07,conventional,fresh,
liquor,Likör,Likör,vegan,2.07,conventional,fresh,
tawny port,Portwein,Portwein,vegetarian,2.38,conventional,fresh,
wine,Wein,Wein,vegan,2.16,conventional,fresh,
half fat margarine,Halbfettmargarine,Halbfettmargarine,vegetarian,1.15,conventional,fresh,
extravirgin olive oil,Olivenöl extra virgin,Olivenöl extra virgin,vegan,3.06,conventional,fresh,
olive oil,Olivenöl,Olivenöl,vegan,3.06,conventional,fresh,
sunflower oil,Sonnenblumenöl,Sonnenblumenöl,vegan,2.24,conventional,fresh,
vegan spreadable fat,veganes Streichfett,veganes Streichfett,vegan,1.67,conventional,fresh,
full fat margarine,Vollfettmargarine,Vollfettmargarine,vegetarian,1.78,conventional,fresh,
clam,Muschel,Muschel,meat,6.29,conventional,fresh,
cockle,Herzmuschel,Herzmuschel,meat,6.29,conventional,fresh,
mussel,Muschel,Muschel,meat,6.29,conventional,fresh,
oyster,Auster,Auster,meat,6.29,conventional,fresh,
scallop,Jakobsmuschel,Jakobsmuschel,meat,6.29,conventional,fresh,
egg,Ei,Ei,vegetarian,2.04,conventional,fresh,
egg white,Eiweiss,Eiweiss,vegetarian,2.04,conventional,fresh,
egg yolk,Eigelb,Eigelb,vegetarian,2.04,conventional,fresh,
sausage,Wurst,Wurst,meat,3.62,conventional,fresh,
hot dog,Wiener,Wiener,meat,3.77,conventional,fresh,
mushroom,Champignon,Champignon,vegan,1.31,conventional,fresh,
morel,Morchel,Morchel,vegan,1.31,conventional,fresh,
porcini,Steinpilz,Steinpilz,vegan,1.31,conventional,fresh,
portobello,Portobello,Portobello,vegan,1.31,conventional,fresh,
shiitake,Shiitake,Shiitake,vegan,1.31,conventional,fresh,
wild mushroom,Wildpilz,Wildpilz,vegan,1.31,conventional,fresh,
lamb's lettuce,Nüsslisalat,Nüsslisalat,vegan,0.27,conventional,fresh,
collard green,Blattkohl,Blattkohl,vegan,0.35,conventional,fresh,
kale,Grünkohl,Grünkohl,vegan,0.35,conventional,fresh,
cherry tomato,Cherrytomate,Cherrytomate,vegan,0.91,conventional,fresh,
kohlrabi,Kohlrabi,Kohlrabi,vegan,0.43,conventional,fresh,
acorn squash,Eichelkürbis,Eichelkürbis,vegan,0.21,conventional,fresh,
banana squash,Bananenkürbis,Bananenkürbis,vegan,0.21,conventional,fresh,
butternut squash,Butternusskürbis,Butternusskürbis,vegan,0.21,conventional,fresh,
delicata squash,Delikata Kürbis,Delikata Kürbis,vegan,0.21,conventional,fresh,
gem squash,Gem Squash Kürbis,Gem Squash Kürbis,vegan,0.21,conventional,fresh,
hubbard squash,Riesenkürbis,Riesenkürbis,vegan,0.21,conventional,fresh,
kabocha squash,Kabocha Kürbis,Kabocha Kürbis,vegan,0.21,conventional,fresh,
pumpkin,Kürbis,Kürbis,vegan,0.21,conventional,fresh,
spaghetti squash,Spaghetti Kürbis,Spaghetti Kürbis,vegan,0.21,conventional,fresh,
chives,Schnittlauch,Schnittlauch,vegan,0.21,conventional,fresh,
leek,Lauch,Lauch,vegan,0.21,conventional,fresh,
brussel sprouts,Rosenkohl,Rosenkohl,vegan,0.28,conventional,fresh,
arugula,Rucola,Rucola,vegan,0.27,conventional,fresh,
mixed salad,Salatmischung,Salatmischung,vegan,0.28,conventional,fresh,
salad,Salat,Salat,vegan,0.28,conventional,fresh,
sweet potato,Süsskartoffel,Süsskartoffel,vegan,0.41,conventional,fresh,
savoy,Wirsing,Wirsing,vegan,0.3,conventional,fresh,
wholegrain bread bun,Vollkornbrötchen,Vollkornbrötchen,vegetarian,0.6,conventional,fresh,
wheat bread bun,Weissmehlbrötchen,Weissmehlbrötchen,vegetarian,0.62,conventional,fresh,
bread bun,Brötchen,Brötchen,vegetarian,0.61,conventional,fresh,
bulgur,Bulgur,Bulgur,vegan,0.52,conventional,fresh,
couscous,Couscous,Couscous,vegan,0.44,conventional,fresh,
millet,Hirse,Hirse,vegan,0.52,conventional,fresh,
