en_key,lang_key,ref,type,co2,classification,attribute,variety
mushroom,mushroom,mushroom,vegan,2.55,conventional,canned,canned
corn,corn,corn,vegan,1.2,conventional,canned,canned
tomato,tomato,tomato,vegan,1.87,conventional,canned,canned
beans,beans,beans,vegan,1.21,conventional,canned,canned
peas,peas,peas,vegan,1.24,conventional,canned,canned
chickpea,chickpea,chickpea,vegan,1.25,conventional,canned,canned
lentil,lentil,lentil,vegan,1.46,conventional,canned,canned
pineapple,pineapple,pineapple,vegan,1.71,conventional,canned,canned
apricot,apricot,apricot,vegan,1.7,conventional,canned,canned
peach,peach,peach,vegan,1.52,conventional,canned,canned
basil,basil,basil,vegan,3.124,conventional,dried,dried
rosemary,rosemary,rosemary,vegan,0.532,conventional,dried,dried
thyme,thyme,thyme,vegan,2.812,conventional,dried,dried
date,date,date,vegan,4.22,organic,dried,dried
tea,tea,tea,vegan,5.06,conventional,dried,dried
oregano,oregano,oregano,vegan,2.362,conventional,dried,dried
lentils,lentils,lentils,vegan,0.61,conventional,dried,dried
date,date,date,vegan,3.01,conventional,dried,dried
spice,spice,spice,vegan,0.652,conventional,fresh,fresh
basil,basil,basil,vegan,0.272,conventional,fresh,fresh
oregano,oregano,oregano,vegan,0.572,conventional,fresh,fresh
beetroot,beetroot,beetroot,vegan,0.32,conventional,fresh,fresh
date,date,date,vegan,3.56,organic,fresh,fresh
crab,crab,crab,meat,12.59,conventional,frozen,frozen
crayfish,crayfish,crayfish,meat,12.59,conventional,frozen,frozen
langostino,langostino,langostino,meat,12.59,conventional,frozen,frozen
prawns,prawns,prawns,meat,12.59,conventional,frozen,frozen
scampi,scampi,scampi,meat,12.59,conventional,frozen,frozen
shrimp,shrimp,shrimp,meat,12.59,conventional,frozen,frozen
brussel sprouts,brussel sprouts,brussel sprouts,vegan,0.59,conventional,frozen,frozen
strawberry,strawberry,strawberry,vegan,0.71,conventional,frozen,frozen
blueberry,blueberry,blueberry,vegan,0.64,conventional,frozen,frozen
raspberry,raspberry,raspberry,vegan,0.66,conventional,frozen,frozen
french fries,french fries,french fries,vegan,0.7,conventional,frozen,frozen
beetroot,beetroot,beetroot,vegan,1.36,conventional,glass,glass
red cabbage,red cabbage,red cabbage,vegan,0.96,conventional,glass,glass
kale,kale,kale,vegan,0.8,conventional,glass,glass
black eyed beans,black eyed beans,black eyed beans,vegan,0.403,conventional,fresh,
plum,plum,plum,vegan,0.22,conventional,fresh,
burger bun,burger bun,burger bun,vegetarian,0.61,conventional,fresh,
anise,anise,anise,vegan,4.526,conventional,fresh,
baking powder,baking powder,baking powder,vegan,1.504,conventional,fresh,
baking soda,baking soda,baking soda,vegan,1.249,conventional,fresh,
lemon balm,lemon balm,lemon balm,vegan,0.602,conventional,fresh,
balsamic vinegar,balsamic vinegar,balsamic vinegar,vegan,1.474,conventional,fresh,
barbecue sauce,barbecue sauce,barbecue sauce,meat,0.983,conventional,fresh,
bay leaf,bay leaf,bay leaf,vegan,0.602,conventional,fresh,
cardamom,cardamom,cardamom,vegan,0.652,conventional,fresh,
chervil,chervil,chervil,vegan,0.356,conventional,fresh,
chia seeds,chia seeds,chia seeds,vegan,0.92,conventional,fresh,
chili,chili,chili,vegan,0.681,conventional,fresh,
cinnamon,cinnamon,cinnamon,vegan,0.643,conventional,fresh,
clove,clove,clove,vegan,0.492,conventional,fresh,
cilantro,cilantro,cilantro,vegan,0.656,conventional,fresh,
cumin,cumin,cumin,vegan,0.652,conventional,fresh,
turmeric,turmeric,turmeric,vegan,0.652,conventional,fresh,
curry,curry,curry,vegan,0.652,conventional,fresh,
dill,dill,dill,vegan,0.682,conventional,fresh,
