en_key,lang_key,ref,type,co2,classification,attribute,variety
mushroom,fungo,fungo,vegan,2.55,conventional,canned,canned
corn,mais,mais,vegan,1.2,conventional,canned,canned
tomato,pomodori,pomodori,vegan,1.87,conventional,canned,canned
beans,fagioli,fagioli,vegan,1.21,conventional,canned,canned
peas,piselli,piselli,vegan,1.24,conventional,canned,canned
chickpea,ceci,ceci,vegan,1.25,conventional,canned,canned
lentil,lenticchie,lenticchie,vegan,1.46,conventional,canned,canned
pineapple,ananas,ananas,vegan,1.71,conventional,canned,canned
apricot,albicocche,albicocche,vegan,1.7,conventional,canned,canned
peach,pesca,pesca,vegan,1.52,conventional,canned,canned
basil,basilico,basilico,vegan,3.124,conventional,dried,dried
rosemary,rosmarino,rosmarino,vegan,0.532,conventional,dried,dried
thyme,timo,timo,vegan,2.812,conventional,dried,dried
date,dattero,dattero,vegan,4.22,organic,dried,dried
tea,tè,tè,vegan,5.06,conventional,dried,dried
oregano,origano,origano,vegan,2.362,conventional,dried,dried
lentils,lenticchie,lenticchie,vegan,0.61,conventional,dried,dried
date,dattero,dattero,vegan,3.01,conventional,dried,dried
spice,spezia,spezia,vegan,0.652,conventional,fresh,fresh
basil,basilico,basilico,vegan,0.272,conventional,fresh,fresh
oregano,origano,origano,vegan,0.572,conventional,fresh,fresh
beetroot,barbabietola,barbabietola,vegan,0.32,conventional,fresh,fresh
date,dattero,dattero,vegan,3.56,organic,fresh,fresh
crab,granchio,granchio,meat,12.59,conventional,frozen,frozen
crayfish,gamberi,gamberi,meat,12.59,conventional,frozen,frozen
langostino,langostino,langostino,meat,12.59,conventional,frozen,frozen
prawns,gamberoni,gamberoni,meat,12.59,conventional,frozen,frozen
scampi,scampi,scampi,meat,12.59,conventional,frozen,frozen
shrimp,gambero,gambero,meat,12.59,conventional,frozen,frozen
brussel sprouts,germogli di brussel,germogli di brussel,vegan,0.59,conventional,frozen,frozen
strawberry,fragole,fragole,vegan,0.71,conventional,frozen,frozen
blueberry,mirtillo,mirtillo,vegan,0.64,conventional,frozen,frozen
raspberry,lamponi,lamponi,vegan,0.66,conventional,frozen,frozen
french fries,patatine fritte,patatine fritte,vegan,0.7,conventional,frozen,frozen
beetroot,barbabietola,barbabietola,vegan,1.36,conventional,glass,glass
red cabbage,cavolo rosso,cavolo rosso,vegan,0.96,conventional,glass,glass
kale,cavolo riccio,cavolo riccio,vegan,0.8,conventional,glass,glass
black eyed beans,piselli dagli occhi neri,piselli dagli occhi neri,vegan,0.403,conventional,fresh,
